time_s,temp_C
199.06,43.40
199.56,43.46
200.06,43.45
200.56,43.54
201.06,43.52
201.56,43.84
202.06,43.52
202.56,43.57
203.06,43.51
203.56,43.61
204.06,43.35
204.56,43.42
205.06,43.81
205.56,43.68
206.06,43.59
206.56,43.77
207.06,43.70
207.56,43.77
208.06,43.80
208.56,43.64
209.06,43.76
209.56,43.81
210.06,43.64
210.56,43.70
211.06,43.67
211.56,43.60
212.06,43.73
212.56,43.87
213.06,44.12
213.56,43.87
214.06,43.79
214.56,43.80
215.06,43.66
215.56,43.74
216.06,43.91
216.56,43.80
217.06,43.86
217.56,43.78
218.06,43.89
218.56,44.02
219.06,43.90
219.56,43.93
220.06,43.78
220.56,43.95
221.06,43.96
221.56,43.75
222.06,43.91
222.56,43.93
223.06,43.93
223.56,44.20
224.06,44.11
224.56,44.04
225.06,44.00
225.56,44.02
226.06,44.02
226.56,43.89
227.06,43.80
227.56,43.95
228.06,44.00
228.56,43.94
229.06,43.90
229.56,43.89
230.06,44.01
230.56,44.00
231.06,44.23
231.56,44.09
232.06,44.00
232.56,44.15
233.06,44.02
233.56,44.03
234.06,44.18
234.56,44.04
235.06,44.17
235.56,43.89
236.06,44.14
236.56,44.02
237.06,44.03
237.56,43.95
238.06,44.30
238.56,44.07
239.06,44.07
239.56,44.05
240.06,44.15
240.56,44.23
241.06,44.24
241.56,44.28
242.06,44.21
242.56,44.30
243.06,44.23
243.56,44.12
244.06,44.24
244.56,44.01
245.06,44.31
245.56,44.24
246.06,44.26
246.56,44.29
247.06,44.03
247.56,44.23
248.06,44.19
248.56,44.16
249.06,44.34
249.56,44.45
250.06,44.00
250.56,44.25
251.06,44.35
251.56,44.40
252.06,44.44
252.56,44.19
253.06,44.02
253.56,44.33
254.06,44.32
254.56,44.37
255.06,44.37
255.56,44.28
256.06,44.11
256.56,44.36
257.06,44.36
257.56,44.45
258.06,44.48
258.56,44.39
259.06,44.47
259.56,44.33
260.06,44.32
260.56,44.49
261.06,44.24
261.56,44.68
262.06,44.23
262.56,44.35
263.06,44.51
263.56,44.34
264.06,44.43
264.56,44.41
265.06,44.69
265.56,44.65
266.06,44.46
266.56,44.35
267.06,44.59
267.56,44.40
268.06,44.47
268.56,44.48
269.06,44.36
269.56,44.44
270.06,44.69
270.56,44.51
271.06,44.45
271.56,44.62
272.06,44.52
272.56,44.78
273.06,44.48
273.56,44.63
274.06,44.38
274.56,44.61
275.06,44.59
275.56,44.62
276.06,44.55
276.56,44.67
277.06,44.78
277.56,44.61
278.06,44.47
278.56,44.59
279.06,44.41
279.56,44.36
280.06,44.79
280.56,44.81
281.06,44.81
281.56,44.85
282.06,44.57
282.56,44.32
283.06,44.71
283.56,44.60
284.06,44.66
284.56,44.81
285.06,44.74
285.56,44.76
286.06,44.60
286.56,44.74
287.06,44.55
287.56,44.83
288.06,44.88
288.56,44.84
289.06,44.67
289.56,44.84
290.06,44.86
290.56,44.66
291.06,44.66
291.56,45.29
292.06,44.60
292.56,44.45
293.06,44.82
293.56,44.86
294.06,44.77
294.56,44.81
295.06,44.90
295.56,44.84
296.06,44.85
296.56,44.80
297.06,44.92
297.56,44.91
298.06,44.84
298.56,44.87
299.06,44.86
299.56,44.81
300.06,45.02
300.56,44.98
301.06,44.83
301.56,45.00
302.06,44.76
302.56,45.06
303.06,44.85
303.56,44.93
304.06,44.91
304.56,44.80
305.06,45.00
305.56,45.09
306.06,45.04
306.56,44.96
307.06,44.99
307.56,44.97
308.06,45.02
308.56,44.93
309.06,44.84
309.56,44.86
310.06,44.87
310.56,45.19
311.06,45.11
311.56,44.92
312.06,45.11
312.56,45.05
313.06,45.00
313.56,45.11
314.06,45.02
314.56,44.78
315.06,44.95
315.56,45.03
316.06,45.04
316.56,44.79
317.06,45.12
317.56,45.02
318.06,44.99
318.56,44.98
319.06,45.15
319.56,45.08
320.06,45.09
320.56,45.15
321.06,45.17
321.56,45.30
322.06,44.97
322.57,45.13
323.06,45.03
323.56,45.12
324.06,45.12
324.57,45.05
325.06,45.09
325.56,45.18
326.06,44.89
326.57,45.18
327.06,45.05
327.56,45.28
328.06,45.19
328.56,45.29
329.06,45.43
329.56,45.10
330.06,45.07
330.56,45.14
331.06,45.21
331.56,45.19
332.06,45.09
332.56,45.08
333.06,45.32
333.56,45.34
334.06,45.08
334.56,45.24
335.06,45.02
335.56,45.11
336.06,45.06
336.56,45.26
337.06,45.27
337.56,45.25
338.06,45.37
338.56,45.27
339.06,45.26
339.56,45.26
340.06,45.20
340.56,45.32
341.06,45.24
341.56,45.46
342.06,45.14
342.56,45.17
343.06,45.27
343.56,45.38
344.06,45.36
344.56,45.64
345.06,45.59
345.56,45.30
346.06,45.54
346.56,45.50
347.06,45.14
347.56,45.22
348.06,45.36
348.56,45.26
349.06,45.40
349.56,45.33
350.06,45.33
350.56,45.54
351.06,45.37
351.56,45.42
352.06,45.29
352.56,45.36
353.06,45.40
353.56,45.19
354.06,45.55
354.56,45.57
355.06,45.47
355.56,45.36
356.06,45.47
356.56,45.40
357.06,45.30
357.56,45.37
358.06,45.47
358.56,45.34
359.06,45.32
359.56,45.44
360.06,45.45
360.56,45.55
361.06,45.64
361.56,45.23
362.06,45.44
362.56,45.43
363.06,45.29
363.56,45.49
364.06,45.42
364.56,45.51
365.06,45.61
365.56,45.56
366.06,45.53
366.56,45.57
367.06,45.34
367.56,45.55
368.06,45.53
368.56,45.40
369.06,45.55
369.56,45.69
370.06,45.53
370.56,45.60
371.06,45.50
371.56,45.41
372.06,45.35
372.56,45.43
373.06,45.36
373.56,45.58
374.06,45.95
374.56,45.44
375.06,45.54
375.56,45.49
376.06,45.42
376.56,45.64
377.06,45.27
377.56,45.60
378.06,45.45
378.56,45.64
379.06,45.61
379.56,45.31
380.06,45.75
380.56,45.52
381.06,45.36
381.56,45.62
382.06,45.61
382.56,45.74
383.06,45.52
383.56,45.44
384.06,45.71
384.56,45.46
385.06,45.37
385.56,45.51
386.06,45.60
386.56,45.64
387.06,45.70
387.56,45.71
388.06,45.76
388.56,45.85
389.06,45.61
389.56,45.46
390.06,45.26
390.56,45.66
391.06,45.74
391.56,45.94
392.06,45.68
392.56,45.70
393.06,45.49
393.56,45.71
394.06,45.47
394.56,45.71
395.06,45.76
395.56,45.75
396.06,45.56
396.56,45.78
397.06,45.71
397.56,45.72
398.06,45.69
398.56,45.42
399.06,45.63
399.56,45.64
400.06,45.55
400.56,45.78
401.06,45.69
401.56,45.62
402.06,45.73
402.56,45.57
403.06,45.85
403.56,45.81
404.06,45.86
404.56,45.64
405.06,45.58
405.56,46.00
406.06,45.98
406.56,45.93
407.06,45.76
407.56,45.80
408.06,45.88
408.56,45.87
409.06,45.61
409.56,45.82
410.06,45.58
410.56,45.55
411.06,45.70
411.56,45.75
412.06,45.80
412.56,45.79
413.06,45.64
413.56,45.81
414.06,45.82
414.56,45.80
415.06,45.40
415.56,45.89
416.06,45.91
416.56,45.89
417.06,45.63
417.56,45.88
418.06,45.75
418.56,45.61
419.06,45.65
419.56,46.06
420.06,45.92
420.56,45.64
421.06,45.96
421.56,45.69
422.06,45.71
422.56,46.12
423.06,45.70
423.56,45.79
424.06,46.11
424.56,45.77
425.06,45.97
425.56,45.51
426.06,45.87
426.56,45.95
427.06,45.71
427.56,45.68
428.06,45.81
428.56,45.90
429.06,46.03
429.56,45.80
430.06,45.84
430.56,45.90
431.06,45.90
431.56,46.12
432.06,45.90
432.56,46.09
433.06,45.84
433.56,45.97
434.06,45.90
434.56,45.97
435.06,45.93
435.56,45.86
436.06,46.11
436.56,45.99
437.06,46.09
437.56,45.84
438.06,45.92
438.56,45.95
439.06,45.94
439.56,45.93
440.06,45.92
440.56,45.81
441.06,45.90
441.56,45.90
442.06,45.96
442.56,45.93
443.06,45.96
443.56,46.01
444.06,46.07
444.56,46.02
445.06,46.09
445.56,46.06
446.06,45.97
446.56,46.08
447.06,46.01
447.56,46.19
448.06,46.06
448.56,46.04
449.06,46.07
449.56,46.00
450.06,46.14
450.56,45.96
451.06,45.90
451.56,45.67
452.06,46.09
452.56,46.05
453.06,46.03
453.56,46.11
454.06,46.21
454.56,46.25
455.06,45.82
455.56,46.09
456.06,46.11
456.56,45.96
457.06,46.13
457.56,46.01
458.06,46.03
458.56,46.17
459.06,46.18
459.56,45.88
460.06,46.00
460.56,46.04
461.06,46.00
461.56,46.12
462.06,46.02
462.56,46.22
463.06,46.04
463.56,46.06
464.06,46.18
464.56,46.11
465.06,46.26
465.56,46.15
466.06,45.71
466.56,46.15
467.06,46.12
467.56,46.10
468.06,46.25
468.56,46.20
469.06,46.00
469.56,46.12
470.06,46.06
470.56,46.10
471.06,46.27
471.56,46.18
472.06,46.12
472.56,46.15
473.06,46.01
473.56,46.01
474.06,46.03
474.56,46.12
475.06,46.28
475.56,46.11
476.06,46.07
476.56,46.17
477.06,46.44
477.56,46.24
478.06,46.32
478.56,46.19
479.06,46.13
479.56,46.16
480.06,46.20
480.56,46.15
481.06,46.08
481.56,46.34
482.06,46.20
482.56,46.08
483.06,46.25
483.56,46.21
484.06,46.18
484.56,46.05
485.06,46.24
485.56,46.20
486.06,46.04
486.56,46.24
487.06,46.03
487.56,46.15
488.06,46.44
488.56,46.20
489.06,46.31
489.56,46.33
490.06,46.39
490.56,46.25
491.06,46.04
491.56,46.11
492.06,46.06
492.56,46.31
493.06,46.19
493.56,46.32
494.06,46.04
494.56,46.27
495.06,46.34
495.56,46.27
496.06,46.33
496.56,46.17
497.06,46.32
497.56,46.03
498.06,46.27
498.56,46.38
499.06,46.43
499.56,46.13
500.06,46.22
500.56,45.97
501.06,46.26
501.56,46.32
502.06,46.31
502.56,46.39
503.06,46.39
503.56,46.30
504.06,46.24
504.56,46.30
505.06,46.26
505.56,46.28
506.06,46.27
506.56,46.32
507.06,46.20
