time_s,temp_C
0.90,30.12
1.25,29.81
1.59,30.12
1.93,30.12
2.27,29.87
2.61,29.62
3.06,29.98
3.56,30.82
4.06,30.04
4.56,29.83
5.06,29.76
5.56,29.96
6.06,29.89
6.56,29.90
7.06,29.77
7.56,29.89
8.06,29.71
8.56,29.81
9.06,29.85
9.56,29.89
10.06,29.97
10.56,29.81
11.06,29.91
11.56,29.91
12.06,30.07
12.56,29.89
13.06,29.97
13.56,29.96
14.06,30.12
14.56,29.88
15.06,30.05
15.56,30.03
16.06,30.27
16.56,30.15
17.06,30.02
17.56,30.08
18.06,30.32
18.56,29.87
19.06,29.95
19.56,30.05
20.06,30.08
20.56,30.14
21.06,29.97
21.56,30.30
22.06,30.03
22.56,30.37
23.06,30.74
23.56,30.36
24.06,31.19
24.56,30.69
25.06,30.49
25.56,30.22
26.06,30.23
26.56,30.28
27.06,30.23
27.56,30.26
28.06,30.14
28.56,30.29
29.06,30.23
29.56,30.16
30.06,30.26
30.56,30.39
31.06,30.33
31.56,30.55
32.06,30.60
32.56,30.64
33.06,30.68
33.56,30.61
34.06,30.52
34.56,30.31
35.06,30.49
35.56,30.70
36.06,30.71
36.56,30.65
37.06,30.73
37.56,30.49
38.06,30.77
38.56,30.70
39.06,30.66
39.56,30.71
40.06,30.55
40.56,30.76
41.06,30.74
41.56,30.63
42.06,30.47
42.56,30.71
43.06,30.79
43.56,30.77
44.06,30.79
44.56,30.90
45.06,30.65
45.56,30.89
46.06,30.92
46.56,30.81
47.06,30.80
47.56,30.80
48.06,30.98
48.56,30.88
49.06,30.96
49.56,30.88
50.06,30.92
50.56,31.03
51.06,31.12
51.56,31.22
52.06,31.09
52.56,30.98
53.06,31.01
53.56,31.08
54.06,31.11
54.56,31.03
55.06,31.15
55.56,31.15
56.06,31.05
56.56,31.18
57.06,31.20
57.56,31.34
58.06,31.15
58.56,31.41
59.06,31.37
59.56,31.28
60.06,31.21
60.56,31.39
61.06,31.45
61.56,31.25
62.06,31.35
62.56,31.40
63.06,31.39
63.56,31.54
64.06,31.46
64.56,31.59
65.06,31.76
65.56,31.64
66.06,31.56
66.56,31.64
67.06,31.81
67.56,31.56
68.06,31.62
68.56,31.79
69.06,31.63
69.56,31.54
70.06,31.85
70.56,31.60
71.06,31.70
71.56,31.94
72.06,31.86
72.56,31.79
73.06,31.80
73.56,31.74
74.06,31.83
74.56,31.92
75.06,31.71
75.56,31.95
76.06,32.07
76.56,31.84
77.06,32.10
77.56,32.13
78.06,32.08
78.56,31.98
79.06,32.14
79.56,31.97
80.06,32.06
80.56,32.21
81.06,32.22
81.56,32.26
82.06,32.27
82.56,32.36
83.06,32.21
83.56,32.36
84.06,32.51
84.56,32.13
85.06,32.44
85.56,32.37
86.06,32.65
86.56,32.50
87.06,32.39
87.56,32.63
88.06,32.59
88.56,32.58
89.06,32.60
89.56,32.72
90.06,32.64
90.56,32.66
91.06,32.58
91.56,32.72
92.06,32.63
92.56,32.74
93.06,32.65
93.56,32.82
94.06,32.80
94.56,32.82
95.06,32.83
95.56,32.86
96.06,32.84
96.56,32.88
97.06,32.93
97.56,33.03
98.06,32.96
98.56,32.90
99.06,32.90
99.56,33.15
100.06,33.45
100.56,33.07
101.06,33.30
101.56,33.18
102.06,32.94
102.56,33.34
103.06,33.33
103.56,33.11
104.06,33.46
