time_s,temp_C
0.92,31.61
1.26,31.40
1.59,31.84
1.93,31.61
2.27,31.69
2.61,31.60
3.06,31.68
3.56,31.77
4.06,31.73
4.56,31.88
5.06,31.88
5.56,31.88
6.06,31.99
6.56,31.88
7.06,31.97
7.56,31.94
8.06,32.01
8.56,32.25
9.06,32.03
9.56,32.02
10.06,32.15
10.56,32.03
11.06,32.07
11.56,32.12
12.06,32.02
12.56,32.14
13.06,32.08
13.56,31.91
14.06,32.17
14.56,32.12
15.06,32.20
15.56,32.33
16.06,32.13
16.56,32.59
17.06,32.41
17.56,32.52
18.06,32.38
18.56,32.37
19.06,32.35
19.56,32.33
20.06,32.24
20.56,32.37
21.06,32.44
21.56,32.49
22.06,32.53
22.56,32.61
23.06,32.50
23.56,32.49
24.06,32.61
24.56,32.66
25.06,32.64
25.56,32.77
26.06,33.01
26.56,32.46
27.06,32.82
27.56,32.97
28.06,32.83
28.56,32.81
29.06,32.89
29.56,32.97
30.06,33.07
30.56,32.89
31.06,33.03
31.56,32.96
32.06,32.89
32.56,33.30
33.06,33.12
33.56,33.27
34.06,33.13
34.56,33.34
35.06,33.20
35.56,33.08
36.06,33.23
36.56,33.28
37.06,33.44
37.56,33.09
38.06,33.34
38.56,33.43
39.06,33.42
39.56,33.64
40.06,33.48
40.56,33.62
41.06,33.44
41.56,33.59
42.06,33.45
42.56,33.72
43.06,33.56
43.56,33.75
44.06,33.68
44.56,33.70
45.06,33.78
45.56,33.85
46.06,33.82
46.56,33.84
47.06,33.90
47.56,33.98
48.06,33.78
48.56,33.90
49.06,34.42
49.56,33.92
50.06,34.07
50.56,34.04
51.06,34.09
51.56,34.07
52.06,34.36
52.56,34.22
53.06,34.14
53.56,34.21
54.06,34.33
54.56,34.37
55.06,34.30
55.56,34.42
56.06,34.33
56.56,34.43
57.06,34.71
57.56,34.46
58.06,34.70
58.56,34.44
59.06,34.64
59.56,34.61
60.06,34.54
60.56,34.76
61.06,34.71
61.56,34.75
62.06,34.90
62.56,34.72
63.06,34.93
63.56,34.89
64.06,34.81
64.56,34.92
65.06,34.96
65.56,35.00
66.06,34.99
66.56,35.04
67.06,35.05
67.56,35.34
68.06,35.14
68.56,34.92
69.06,35.18
69.56,35.46
70.06,35.34
70.56,35.39
71.06,35.62
71.56,35.47
72.06,35.25
72.56,35.48
73.06,35.46
73.56,35.70
74.06,35.69
74.56,35.41
75.06,35.60
75.56,35.73
76.06,35.58
76.56,35.58
77.06,35.85
77.56,35.67
78.06,35.64
78.56,35.81
79.06,35.98
79.56,35.80
80.06,35.83
80.56,35.82
81.06,35.87
81.56,35.97
82.06,36.03
82.56,36.07
83.06,35.97
83.56,36.09
84.06,36.06
84.56,35.99
85.06,36.16
85.56,36.35
86.06,36.41
86.56,36.23
87.06,36.19
87.56,36.29
88.06,36.43
88.56,36.22
89.06,36.59
89.56,36.38
90.06,36.72
90.56,36.52
91.06,36.59
91.56,36.61
92.06,36.66
92.56,36.49
93.06,36.44
93.56,36.70
94.06,36.72
94.56,36.77
95.06,36.80
95.56,36.85
96.06,36.83
96.56,36.87
97.06,36.98
97.56,37.03
98.06,36.97
98.56,36.91
99.06,37.09
99.56,36.96
100.06,37.09
100.56,37.14
101.06,37.13
101.56,37.33
102.06,37.18
102.56,37.24
103.06,37.18
103.56,37.44
104.06,37.32
104.56,37.09
105.06,37.44
105.56,37.53
106.06,37.42
106.56,37.60
107.06,37.42
107.56,37.53
108.06,37.90
108.56,37.68
109.06,37.86
109.56,37.62
110.06,37.80
110.56,37.98
111.06,37.74
111.56,37.86
112.06,37.74
112.56,37.88
113.06,37.94
113.56,37.73
114.06,37.96
114.56,37.97
115.06,38.01
115.56,38.08
116.06,38.09
116.56,38.21
117.06,38.30
117.56,38.14
118.06,38.24
118.56,38.25
119.06,38.35
119.56,38.37
120.06,38.39
120.56,38.45
121.06,38.20
121.56,38.48
122.06,38.34
122.56,38.45
123.06,38.45
123.56,38.70
124.06,38.55
124.56,38.74
125.06,38.41
125.56,38.83
126.06,38.71
126.56,38.72
127.06,38.57
127.56,38.81
128.06,38.70
128.56,38.83
129.06,38.92
129.56,38.97
130.06,38.97
130.56,39.04
131.06,38.93
131.56,39.17
132.06,39.01
132.56,38.71
133.06,38.94
133.56,38.97
134.06,39.22
134.56,39.06
135.06,39.18
135.56,39.18
136.06,39.23
136.56,39.34
137.06,39.35
137.56,39.09
138.06,39.30
138.56,39.30
139.06,39.30
139.56,39.53
140.06,39.54
140.56,39.51
141.06,39.62
141.56,39.82
142.06,39.93
142.56,39.51
143.06,39.65
143.56,39.61
144.06,39.78
144.56,39.59
145.06,40.05
145.56,39.77
146.06,39.93
146.56,39.85
147.06,39.87
147.56,40.00
148.06,39.93
148.56,40.14
149.06,39.98
149.56,40.01
150.06,40.21
150.56,40.11
151.06,40.21
151.56,40.11
152.06,40.10
152.56,40.05
153.06,40.00
153.56,40.13
154.06,40.62
154.56,40.36
155.06,40.30
155.56,40.40
156.06,40.48
156.56,40.43
157.06,40.56
157.56,40.44
158.06,40.54
158.56,40.54
159.06,40.58
159.56,40.67
160.06,40.36
160.56,40.68
161.06,40.63
161.56,40.71
162.06,40.83
162.56,40.84
163.06,40.72
163.56,40.89
164.06,40.81
164.56,40.95
165.06,40.90
165.56,40.92
166.06,41.33
166.56,41.00
167.06,41.05
167.56,40.95
168.06,41.03
168.56,41.12
169.06,41.15
169.56,41.23
170.06,41.23
170.56,41.52
171.06,41.55
171.56,41.65
172.06,41.24
172.56,41.38
173.06,41.57
173.56,41.47
174.06,41.41
174.56,41.55
175.06,41.58
175.56,41.45
176.06,41.66
176.56,41.61
177.06,41.67
177.56,41.58
178.06,41.68
178.56,41.56
179.06,41.70
179.56,41.74
180.06,41.63
180.56,41.78
181.06,41.83
181.56,41.81
182.06,42.00
182.56,42.04
183.06,42.02
183.56,42.13
184.06,42.26
184.56,42.31
185.06,42.17
185.56,41.71
186.06,41.91
186.56,42.11
187.06,42.16
187.56,42.15
188.06,42.34
188.56,42.26
189.06,42.21
189.56,42.36
190.06,42.38
190.56,42.17
191.06,42.28
191.56,42.44
192.06,42.48
192.56,42.25
193.06,42.54
193.56,42.49
194.06,42.52
194.56,42.45
195.06,42.52
195.56,42.54
196.06,42.58
196.56,42.62
197.06,42.86
197.56,42.62
198.06,42.80
198.56,42.67
199.06,42.89
199.56,42.73
200.06,42.75
200.56,42.85
201.06,42.97
201.56,43.00
202.06,42.87
202.56,42.66
203.06,42.89
203.56,43.12
204.06,42.78
204.56,43.05
205.06,43.13
205.56,43.12
206.06,43.08
206.56,43.00
207.06,43.14
207.56,43.01
208.06,43.29
208.56,43.20
209.06,43.29
209.56,43.18
210.06,43.16
210.56,43.29
211.06,43.31
211.56,43.37
212.06,43.40
212.56,43.36
213.06,43.42
213.56,43.48
214.06,43.37
214.56,43.55
215.06,43.63
215.56,43.42
216.06,43.59
216.56,43.52
217.06,43.79
217.56,43.80
218.06,43.70
218.56,43.85
219.06,43.53
219.56,43.80
220.06,44.13
220.56,43.82
221.06,43.70
221.56,43.81
222.06,43.88
222.56,44.04
223.06,44.02
223.56,43.85
224.06,44.20
224.56,43.91
225.06,44.15
225.56,44.11
226.06,44.10
226.56,44.18
227.06,44.03
227.56,44.00
228.06,44.21
228.56,44.43
229.06,44.20
229.56,44.23
230.06,44.32
230.56,44.40
231.06,44.17
231.56,44.44
232.06,44.55
232.56,44.57
233.06,44.57
233.56,44.45
234.06,44.55
234.56,44.58
235.06,44.55
235.56,44.56
236.06,44.60
236.56,44.72
237.06,44.66
237.56,44.71
238.06,44.77
238.56,44.71
239.06,44.79
239.56,44.69
240.06,44.79
240.56,44.82
241.06,44.74
241.56,44.85
242.06,44.94
242.56,44.97
243.06,44.89
243.56,45.03
244.06,45.09
244.56,44.79
245.06,45.05
245.56,45.18
246.06,45.11
246.56,45.11
247.06,45.09
247.56,45.31
248.06,45.27
248.56,45.07
249.06,45.40
249.56,45.27
250.06,45.29
250.56,45.29
251.06,45.31
251.56,45.56
252.06,45.35
252.56,45.34
253.06,45.41
253.56,45.47
254.06,45.49
254.56,45.54
255.06,45.70
255.56,45.53
256.06,45.57
256.56,45.51
257.06,45.62
257.56,45.71
258.06,45.82
258.56,45.47
259.06,45.69
259.56,45.69
260.06,45.57
260.56,45.94
261.06,45.61
261.56,45.54
262.06,45.78
262.56,45.69
263.06,45.85
263.56,45.85
264.06,45.79
264.56,45.86
265.06,45.86
265.56,45.78
266.06,45.99
266.56,45.81
267.06,45.69
267.56,46.03
268.06,46.15
268.56,46.09
269.06,46.10
269.56,46.17
270.06,46.09
270.56,46.14
271.06,46.25
271.56,46.16
272.06,46.16
272.56,46.19
273.06,46.15
273.56,46.23
274.06,46.53
274.56,46.37
275.06,46.37
275.56,46.36
