time_s,temp_C
0.91,43.25
1.25,39.66
1.58,43.90
1.91,43.71
2.25,43.84
2.59,43.85
3.06,44.04
3.56,44.02
4.06,43.89
4.56,43.84
5.06,43.97
5.56,43.71
6.06,43.86
6.56,43.83
7.06,44.01
7.56,43.82
8.06,43.75
8.56,43.75
9.06,43.83
9.56,43.70
10.06,43.70
10.56,43.81
11.06,44.02
11.56,43.69
12.06,43.90
12.56,43.81
13.06,43.79
13.56,43.92
14.06,43.80
14.56,43.72
15.06,43.87
15.56,43.69
16.06,43.88
16.56,43.89
17.06,43.99
17.56,43.76
18.06,43.87
18.56,43.71
19.06,43.77
19.56,43.83
20.06,43.74
20.56,43.86
21.06,43.83
21.56,43.90
22.06,43.86
22.56,44.00
23.06,43.66
23.56,44.05
24.06,43.71
24.56,43.80
25.06,44.13
25.56,43.86
26.06,43.81
26.56,43.68
27.06,43.76
27.56,44.00
28.06,43.87
28.56,43.83
29.06,44.20
29.56,43.86
30.06,43.76
30.56,43.91
31.06,43.78
31.56,43.91
32.06,44.11
32.56,43.81
33.06,43.82
33.56,43.73
34.06,43.76
34.56,43.91
35.06,43.89
35.56,43.83
36.06,43.87
36.56,43.83
37.06,43.80
37.56,44.05
38.06,44.09
38.56,43.79
39.06,43.80
39.56,43.62
40.06,43.72
40.56,43.75
41.06,43.86
41.56,43.96
42.06,43.85
42.56,43.58
43.06,43.64
43.56,43.67
44.06,43.80
44.56,43.78
45.06,43.74
45.56,43.80
46.06,43.87
46.56,43.87
47.06,43.96
47.56,43.87
48.06,43.74
48.56,43.73
49.06,43.86
49.56,43.93
50.06,43.73
50.56,43.90
51.06,43.83
51.56,44.05
52.06,43.78
52.56,43.53
53.06,43.97
53.56,43.83
54.06,43.93
54.56,43.15
55.06,43.44
55.56,43.17
56.06,43.86
56.56,44.05
57.06,43.93
57.56,43.84
58.06,42.79
58.56,42.33
59.06,42.29
59.56,43.08
60.06,42.80
60.56,43.07
61.06,42.95
61.56,43.18
62.06,43.00
62.56,43.47
63.06,43.20
63.56,43.63
64.06,43.42
64.56,43.62
65.06,43.71
65.56,43.61
66.06,43.74
66.56,43.47
67.06,43.63
67.56,43.30
68.06,43.18
68.56,43.32
69.06,42.85
69.56,42.84
70.06,43.33
70.56,43.24
71.06,43.57
71.56,43.24
72.06,43.37
72.56,43.17
73.06,43.13
73.56,43.00
74.06,43.28
74.56,43.21
75.06,43.44
75.56,43.35
76.06,43.38
76.56,43.40
77.06,43.53
77.56,43.40
78.06,43.39
78.56,43.37
79.06,43.19
79.56,43.50
80.06,43.41
80.56,43.37
81.06,43.28
81.56,43.56
82.06,43.41
82.56,43.52
83.06,43.63
83.56,43.33
84.06,43.37
84.56,43.36
85.06,43.53
85.56,43.26
86.06,43.19
86.56,43.42
87.06,43.59
87.56,43.54
88.06,43.56
88.56,43.40
89.06,43.41
89.56,43.51
90.06,43.49
90.56,43.51
91.06,43.88
91.56,43.59
92.06,43.41
92.56,43.29
93.06,43.47
93.56,43.61
94.06,43.62
94.56,43.49
95.06,43.34
95.56,43.67
96.06,43.60
96.56,43.73
97.06,43.84
97.56,43.61
98.06,43.73
98.56,43.78
99.06,43.74
99.56,43.77
100.06,43.79
100.56,43.78
101.06,43.81
101.56,43.73
102.06,43.50
102.56,43.66
103.06,43.84
103.56,43.98
104.06,43.94
104.56,43.64
105.06,43.85
105.56,43.84
106.06,44.07
106.56,43.69
107.06,43.85
107.56,43.92
108.06,43.80
108.56,43.91
109.06,43.99
109.56,43.74
110.06,43.78
110.56,43.92
111.06,44.06
111.56,43.98
112.06,44.02
112.56,44.11
113.06,44.00
113.56,44.06
114.06,44.05
114.56,43.98
115.06,44.17
115.56,44.03
116.06,43.85
116.56,43.91
117.06,44.08
117.56,44.00
118.06,44.06
118.56,44.14
119.06,43.90
119.56,44.04
120.06,44.22
120.56,43.85
121.06,44.10
121.56,43.97
122.06,44.13
122.56,43.99
123.06,44.19
123.56,44.11
124.06,44.16
124.56,44.06
125.06,44.10
125.56,44.11
126.06,44.18
126.56,44.09
127.06,43.93
127.56,44.19
128.06,44.06
128.56,44.00
129.06,44.14
129.56,44.21
130.06,44.22
130.56,43.98
131.06,44.14
131.56,44.08
132.06,44.02
132.56,44.17
133.06,44.06
133.56,44.10
134.06,44.10
134.56,44.11
135.06,44.26
135.56,44.38
136.06,44.22
136.56,44.23
137.06,44.28
137.56,44.28
138.06,44.36
138.56,44.29
139.06,44.26
139.56,44.16
